ticket_handle,game_handle,v,v+,t,h,h+,cuttoff_date,outcomes,visitor,home,sport
2597,21,1.5,2.0,3.5,4.8,3.7,2017-10-12 23:59:00.0,v+ v,TEXAS CHRISTIAN,KANSAS ST.,CFB
2597,22,1.4,1.8,3.6,5.5,4.0,2017-10-12 23:59:00.0,v t,MICHIGAN,INDIANA,CFB
2597,49,5.0,7.0,3.9,1.5,1.25,2017-10-12 23:59:00.0,h+ h,OREGON,STANFORD,CFB
2597,46,2.3,2.9,2.8,3.0,2.4,2017-10-12 23:59:00.0,h+ h,UCLA,ARIZONA,CFB
2597,23,1.2,1.4,4.0,7.5,5.2,2017-10-12 23:59:00.0,v+ v,NORTH CAROLINA ST.,PITTSBURGH,CFB
2597,44,5.2,7.5,4.0,1.4,1.2,2017-10-12 23:59:00.0,t,UTAH,SOUTHERN CALIFORNIA,CFB
2597,45,1.8,2.4,3.2,3.4,2.8,2017-10-12 23:59:00.0,t,MICHIGAN ST.,MINNESOTA,CFB
2597,1,4.0,5.5,3.6,1.8,1.4,2017-10-12 23:59:00.0,t,CHICAGO,BALTIMORE,FTB
2597,3,1.8,2.4,3.2,3.4,2.8,2017-10-12 23:59:00.0,h+ h,GREEN BAY,MINNESOTA,FTB
2597,2,5.0,7.0,3.9,1.5,1.25,2017-10-12 23:59:00.0,h+ h,CLEVELAND,HOUSTON,FTB
2597,5,5.2,7.5,4.0,1.4,1.2,2017-10-12 23:59:00.0,t,MIAMI,ATLANTA,FTB
2597,4,2.8,3.4,3.2,2.4,1.8,2017-10-12 23:59:00.0,h+ h,DETROIT,NEW ORLEANS,FTB
2597,7,5.0,7.0,3.9,1.5,1.25,2017-10-12 23:59:00.0,t,SAN FRANCISCO,WASHINGTON,FTB
2597,6,1.25,1.5,3.9,7.0,5.0,2017-10-12 23:59:00.0,v,NEW ENGLAND,NEW YORK-J,FTB
2597,9,2.6,3.2,3.0,2.6,2.0,2017-10-12 23:59:00.0,v+ v,LOS ANGELES-R,JACKSONVILLE,FTB
2597,8,2.0,2.6,3.0,3.2,2.6,2017-10-12 23:59:00.0,h,TAMPA BAY,ARIZONA,FTB
2597,52,1.85,2.6,7.0,2.5,1.75,2017-10-10 19:30:00.0,v+ v,CHICAGO,MONTREAL,HKY
2597,68,2.5,3.3,7.0,1.9,1.45,2017-10-12 22:30:00.0,h,BUFFALO,SAN JOSE,HKY
2597,77,6.0,0.0,3.8,0.0,1.4,2017-10-10 14:45:00.0,h,SWITZERLAND,PORTUGAL,SCR
2597,76,4.0,0.0,3.2,0.0,1.7,2017-10-10 14:45:00.0,h,SWEDEN,NETHERLANDS,SCR
2597,75,1.45,0.0,3.7,0.0,5.5,2017-10-10 14:45:00.0,t,BULGARIA,LUXEMBOURG,SCR
2597,73,1.55,2.0,2.2,2.7,1.95,2017-10-12 20:00:00.0,v t,CHICAGO-C,WASHINGTON,BBL
2597,72,2.35,3.1,2.4,1.75,1.35,2017-10-11 20:00:00.0,v+ v,NEW YORK-Y,CLEVELAND,BBL
2597,71,2.1,2.7,2.7,1.85,1.45,2017-10-11 16:00:00.0,v+ v,WASHINGTON,CHICAGO-C,BBL
2597,47,4.0,5.5,3.6,1.8,1.4,2017-10-12 23:59:00.0,v+ v,BOISE ST.,SAN DIEGO ST.,CFB
2597,79,4.5,0.0,3.5,0.0,1.55,2017-10-10 19:30:00.0,h,CHILE,BRAZIL,SCR
2597,78,1.4,0.0,3.8,0.0,6.0,2017-10-10 14:45:00.0,v,BOSNIA HERZEGOVINA,ESTONIA,SCR
2597,10,2.8,3.4,3.2,2.4,1.8,2017-10-12 23:59:00.0,v,PITTSBURGH,KANSAS CITY,FTB
2597,39,2.5,3.1,2.9,2.7,2.1,2017-10-12 23:59:00.0,t,TEXAS A&M,FLORIDA,CFB
2597,12,5.5,8.0,4.5,1.3,1.15,2017-10-12 23:59:00.0,v+ v,NEW YORK-G,DENVER,FTB
2597,59,1.7,2.4,7.0,2.7,1.9,2017-10-11 21:30:00.0,h+ h,BOSTON,COLORADO,HKY
2597,58,2.0,2.8,7.0,2.3,1.65,2017-10-11 19:30:00.0,v,PITTSBURGH,WASHINGTON,HKY
2597,14,2.7,3.3,3.1,2.5,1.9,2017-10-12 20:15:00.0,v,PHILADELPHIA,CAROLINA,FTB
2597,55,1.85,2.6,7.0,2.5,1.75,2017-10-10 22:00:00.0,v t,OTTAWA,VANCOUVER,HKY
2597,54,2.2,3.0,7.0,2.1,1.55,2017-10-10 20:30:00.0,h+ h,DETROIT,DALLAS,HKY
2597,57,2.7,3.5,7.0,1.85,1.4,2017-10-11 19:30:00.0,v+ v,NEW JERSEY,TORONTO,HKY
2597,30,1.45,1.9,3.5,5.2,3.9,2017-10-12 23:59:00.0,h,AUBURN,LOUISIANA ST.,CFB
2597,37,2.7,3.3,3.1,2.5,1.9,2017-10-12 23:59:00.0,t,NAVY,MEMPHIS,CFB
